review,sentiment
"Another attempt by modern Japanese directors to redefine the chambara genre. Successful, and not, in varying degrees.<br /><br />Buddhist monk has a vision that he is to slay a legendary (and very active) demon at the Gojoe bridge in order to attain enlightenment. While not at the forefront, Buddhist thought is at the heart of this movie, much like Kurosawa's ""Ran"". It probably what made the movie the most interesting to me although it's nowheres near ""Ran's"" league. <br /><br />Stylish visual direction and excellent photography keep the movie mostly interesting throughout the two hour and eighteen minute length. The lead actors are uniformly excellent. The music is really good. The two weaknesses are the story and the fight scenes. The movie drags in the middle which could have been fixed by some prudent editing. And the fight scenes are mostly filmed in blurry close-ups. This works for most of the film but the finale feels like a cheat. Another recent film like this is Tsui Hark's ""Seven Swords"", great film but the promised fight scenes are disappointing. Asano really doesn't move like a sword wielding demon, his acting is great but he would be an extra in a traditional chambara fight scene.<br /><br />Good movie, you'll probably find it interesting just don't expect traditional sword fights.",1
"This was a shockingly bad movie and I literally gasped the first time seeing the Blue Screen puppets. Imagine the worst Blue Screen special effects you ever saw, make it somehow far worse, and then combine this with poorly made, rubber and Play-doh puppets that look like something from a semi-retarded pre-school art class. Then add some screeching, Yngwie Malmstein-esquire, melodic-metal guitar solos stuff that is way too loud and lasts way too long. The overall film is absolutely awful and makes ""Feeders"" look like ""Rashomon."" Its one of the worst movies I've ever seen, with every quantifiable metric spiraling dismally downward, much like a waterlogged turd in the perpetual, slow whirlpool of a broken Rest Stop toilet. Still, though, a film like ""Actium Maximus"" is not to be missed by the bad movie conesseuirs out there, even if only by looking up clips on YouTube or someplace. This movie is a bit of an eye opener, if you can stomach the ride. I think this director may be mentally ill, though, which is a bit debasing. Watching him discuss the project, you get the sense that he truly believes that he's created something wonderful. I guess he's the ""Star Wars kid"" of gonzo filmmakers. What a mess. :-)",0
"An excellent documentry. I personally remember this growing up in NYC in the early 80's. This movie is for anyone that wasn't around during that time period.This shows the one thing the African American Gay Underclass felt was solely theirs and the love and camadrie you see is real. The people are real and sadly few are still alive as this is being written. The balls are still held but not to the extent that they were in the the nineteen eighties. That time is gone forever. This is a good pre ""homo thug"" movie. When Queens were really proud to be extroverts. Goodbye to Storyville this is another era gone but greatly documented all hail film!",1
"This is the second Baby Burlesk short to be released, and probably the most popular one, is a spoof of the 1926 silent film What Price Glory.<br /><br />I watched this and I do not understand the kiddie-porn that is being claimed. It is just a cute little film. I have seen family shows that I grew up watching in the '80's and '90's that had little girls dressed more provocatively acting in a 'mature manner'. It was more provocative because they WEREN'T dressed in diapers. There's nothing provocative about a diaper unless you have one of those fetishes. (just a joke) I read that description of the movie and where it states only a pedophile would enjoy watching this. That is sick. To me, if you watch this and are bothered by it, then maybe you need to look into your own psyche and try to figure out why it bothers you. It is an innocent film that was made as a parody of another film. All of the B.B. films were parodies, nothing more. The parodies/spoofs of today are graphic in nature and have true almost pornographic scenes and quite vile language. Shouldn't those be more appalling? I can watch those without issue, but they sometimes take children's stories and turn them into filth on those parodies. That is what should get under your skin. Not that they babified (not a word, I know) an adult movie from 1926, because we know how PORNOGRAPHIC those silent films were, huh? Not to mention those 'Forbidden Hollywood Pre-Code era films' so vile and filthy. They would NEVER make such filth today? (note the sarcasm)",1
"This movie is about a man who likes to blow himself up on gas containers.<br /><br />He also loves his mommy. So, to keep the money coming in, he takes his act to Broadway.<br /><br />SEE! CODY POWERS JARRETT BLOW HIMSELF UP ON HIS BIGGEST GAS CONTAINER YET! TONIGHT! 7.30PM! <br /><br />However, one day, his mommy dies and Jarrett goes berserk. He kidnaps the audience in the theatre and makes them all stand on top of a huge gas cylinder.<br /><br />Losing control further, he makes them all scream ""MADE IT MA, TOP OF THE CYLINDER!"" in unison.<br /><br />The noise is so deafening that it bursts Jarrets eardrums, causing him to topple from the cylinder into a vat of acid.<br /><br />This Warner Bros. movie is not all it's cracked up to be.",0
"It's 1982, Two years after the Iranian Embassy Siege which involved the dramatic SAS Rescue from the Balconys, and with a War with Argentina over the Falkland Islands currently taking place, what better film to make than a Gung-Ho ""SAS"" Film that re-creates the Iranian Hostage siege, whilst using Britains Number one action hero of the day, Lewis Collins. throw in Edward Woodward and a few other Well known actors and you've got a winner on your hands?...Well maybe not! The film itself doesn't make the situation serious enough, whilst the acting is quite second rate. it's like a Movie long episode of ""The Professionals"", but without the formula. This film goes nowhere fast and is quite predictable. Maybe Cubby Brocoli watched this film and decided to ditch Lewis Collins as a Touted James Bond Replacement for Roger Moore. Watch it if your a fan of Lewis Collins or SAS stuff in General, if not, save your time.",0
"I love Jane Austen's stories. I've only read two of them (P&P and S&S), but after having seen this adaption, I'm reaching for ""Persuasion"" from my bookcase just to make sense out of the story, and also, because I refusing to believe Jane Austen could have written such nonsense. For me, I thought that if you base a film on a Jane Austen novel, you can't really go wrong. It will turn out great pretty much by default. I was wrong.<br /><br />First of all, where are the characters that you sympathise with and like? You have to have at least one likable character to get the audience to invest their emotions in them, and this did not deliver. Sure, I wanted Anne and Wentworth to get together, but only because that's what you know the purpose of the story is, them getting together. Instead, I had to resist urges to throw my teacup at the TV and to continue watching it to the end.<br /><br />Anne was utterly annoying throughout, and in the end, I really have no idea why Wentworth was so smitten by her, as there seemed to be nothing there for him to be attracted to. She was meek, bland, dull, socially inadequate and came across like a sheep following everyone else's instructions rather than having a mind of her own. This can still work for a lead character, if you do it well. This wasn't done well.<br /><br />The other characters were just displaying various degrees of narcissism, of which Mary was the worst, with a full-blown narcissistic personality disorder. Where Mrs. Bennet in P&P had similar flaws, she was still endearing, whereas Mary was more of a freak-show. More loathsome than funny.<br /><br />Wentworth was very handsome and seemed like a decent kind of guy. For the most part of the story, I was just wondering what kind of person he was and why he's in love with Anne, as surely, he's the kind of guy who would want a person who is a little bit more... alive? Acting-wise, not too much to say, as I reacted more to the characters being portrayed rather than how good/bad the people acting were. Anthony Head was excellent, but as soon as I saw he was in it, I expected no less.<br /><br />Also found the story very confusing. It wasn't until the end of the movie where it seemed as if Elizabeth was not Anne's stepmother, but in fact a sister (I'm still not 100% on that). The whole Anne/Wentworth back story was also a bit fuzzy. They had been together but then broke up and they're both bitter about it? How come? I was wondering this for quite some time, and the explanation seemed to be she dumped him because she was persuaded to do so by someone? But it was said in a kind of ""by the by"" way that it was almost missed, as if it was somehow unimportant. How can it be unimportant when it's the very core of the story?? There was also a lot of name-dropping, but no real feel for who the characters were. This Louisa person for instance, who was she? A friend? Family? What? It wasn't made very clear who the different characters are and their relationship with one another. Lady Russell was there a lot, but why? Mrs. Croft and Wentworth were brother and sister, which felt very unrealistic as Mrs. Croft looked old enough to be his mother.<br /><br />The final kiss, yes it was a bit strange them kissing in the street, but I didn't really think about it, because I was too busy yelling ""GET ON WITH IT ALREADY!!"" at the TV, because Anne's lips trembled and trembled and trembled for what felt like ages before they actually met Wentworth's. Have SOME hesitation there, but only for a couple of seconds or so, not half a minute.<br /><br />Then there's the issue of camera work. As a regular movie watcher, you don't pay attention to angles and such unless you decide to look out for it. I didn't decide to do so here, but I still noticed them. To me, that means the filmmakers are not doing a good job. A lot of conversations were with extreme facial closeups, something that should only be used when there's a really important point to be made. In this adaption, it was over-used and therefore lacked meaning. The hand-held feeling on occasion also didn't really work in a period drama. The camera work in the running scene in the end also felt too contemporary. (Not to mention the running itself.) This was the only Austen adaption I caught in ITV's Austen season. Makes me wonder if it's worth watching ""Northanger Abbey"" and ""Mansfield Park"" or if I should just read the books and leave it at that. I'm sad to say, this is a Jane Austen adaption I did not enjoy. Maybe I'll watch the 1995 version instead. The BBC are renowned for having done beautiful Austen adaptations before, after all.",0
"I really wanted to like The Pillow Book. Intriguing story, interesting character outlines, Ewan Macgregor in the utterly glorious altogether. Unfortunately, I hated every minute of it. Greenaway got so enamoured with presenting the movie uniquely, and not to the film's benefit. I won't even get into Vivian Wu's abysmal acting.<br /><br />You get distracted from the story with 4 billion teeny windows and calligraphy that rolls on the bottom of the screen displaying the lyrics of the music that's playing. It seems he lost sight of presenting the actual story and developing the plot, and got entangled with foo-foo embellishments that have nothing to do with anything. It's a bit like presenting a John Singer Sargeant portrait in a chintzy Hallmark frame that says ""GRANDMA LOVES ME!"" in big sparkly letters.<br /><br />This movie seems to be a casualty of the director auteur's ego instead of what it could have been - disturbingly and horrifyingly beautiful. In another director's hands (Jeunet? Coppola?), it could have been a masterpiece. In Greenaway's hands, it's best relegated to fine arts classes that also take themselves too seriously.",0
"Having not read the book, I was more open to the fresh interpretation that each director gives to their medium (which is film, not ""to the letter"" reproductions of literature)on this particular film. I was happy that the holocaust that occurred in Russia (and it's neighboring countries) finally received some attention. The Nazis were particularly cruel to Russians and Russian Jews. If you read the histories and see the monuments built in Smolensk and nearby regions you will understand this movie and why many kept silent when they should've spoken up.<br /><br />It was certainly time for this to be chronicled and I hope that more stories will come out of this. It's high time.",1
"This film really disappointed me. The acting is atrocious. Unbelievable. And it's about actors. The story is incredibly obvious: A group of independent actors stage a Passion Play and, in turn, they start to live out the lives of the characters they play. I've been watching a lot of movies lately, thanks to Netflix, and this is the first one I haven't watched all the way through in a long time. I felt I didn't need to see the end; we all know the end of this story.<br /><br />For some, it seems, this ""modernization"" of the Gospels is either sacrilegious or enlightening. I cannot speak to any of this as I wasn't raised in the Christian church. That being said, I was raised in the US and I live in an increasingly Christian culture. I'm curious enough about Jesus and about the modernization of the religion, for better or worse. I haven't seen Mel Gibson's version, but I'm guessing that those who liked that one will like this, except for the most conservative. I just wish this was a better film.<br /><br />Lots of these reviews praise Arcand's direction and especially the cinematography. I liked neither. The film itself is rather prudish and preachy. I didn't believe the characters' personae and I was never involved with their on screen lives. The play within the play is very much dated and would not, I think, carry it's own weight in a real time production. But that's beside the point. What I really needed for this to work would have been stronger development of the characters and the plot to support the philosophical and theological questions the film would like to be about. And the musical choices are obvious and unoriginal.<br /><br />There were two examples of this that come easily to mind. Firstly, there is a reenactment of the parable of Jesus driving the money lenders from the temple: the lead actor, who has fallen for the woman who will play Magdalene and who is also a model and dancer, becomes enraged that she must debase herself by auditioning for a commercial (with a wicked producer and plenty of panting men in the audience) with her pants off. He trashes the place and chases them all out. I guess this is the level that the film wishes to reach. The romance between these two is entirely arbitrary and not at all emotionally realized and the scene is played out like a high-school rendering of Death of a Salesman, i.e., not well. Please stop hitting me over the head with this high-handed ""significance."" The other is the relationship between the other female lead and the priest who has asked them to do the play and who, eventually, turns against them and betrays them to the nowadays-corrupt Church. Why. Why does she sleep with this guy. ""It brings him so much pleasure and me so little pain."" Ah, the saintly whore and the lovable old coot. It seems to be just enough for Arcand to signify but not worth the trouble to enrich and enliven these characters. They are going through the motions and I'm reaching for the eject button.<br /><br />Feel free to write me off as bored, jaded or just not interested. Feel free to watch this movie and see the Passion, in all its beauty, sadness and inspiration, delivered as an amateurish and gimmicky charade. Feel free to have all your preconceived ideas affirmed and see any shred of artistic integrity forsaken for monotonous drivel. But don't say I didn't warn you.",0
