Algorithm,Vectorizer,Accuracy,Precision,Recall,F1-Score,Run_ID
LogisticRegression,BoW,0.73,0.6557377049180327,0.8695652173913043,0.7476635514018691,876fa5e6823444938f6ead623dbef527
LogisticRegression,TF-IDF,0.68,0.6029411764705882,0.8913043478260869,0.7192982456140351,69b5b8fd25c440b5ad80d906e75a122e
MultinomialNB,BoW,0.74,0.7380952380952381,0.6739130434782609,0.7045454545454546,7ab6f7c549e347dd907404485469b08d
MultinomialNB,TF-IDF,0.74,0.6785714285714286,0.8260869565217391,0.7450980392156863,06ec321887344f20ae45d5ab0a1d07e6
XGBoost,BoW,0.68,0.609375,0.8478260869565217,0.7090909090909091,eaba3bbeb76342adb6ab6f1dd241df51
XGBoost,TF-IDF,0.69,0.6190476190476191,0.8478260869565217,0.7155963302752294,8df69104788c48b69ec893fc21f5ac90
RandomForest,BoW,0.66,0.59375,0.8260869565217391,0.6909090909090909,e77b81305d654deebe8999e5c0a110d5
RandomForest,TF-IDF,0.66,0.59375,0.8260869565217391,0.6909090909090909,04b1e77850da4c2b9a655806ff5206d0
GradientBoosting,BoW,0.74,0.6612903225806451,0.8913043478260869,0.7592592592592593,2cdaf866b34841a7a82ca10ac6428f70
GradientBoosting,TF-IDF,0.66,0.59375,0.8260869565217391,0.6909090909090909,6421b9441d634e7fb52905831a6dbd2e
